Monday,,,,,,,
GameID,Away,Home,IsNeutral,IsNBA,Channel,Week,Capacity
1,8,21,0,1,4,1,17000
2,8,21,0,1,4,1,17000
3,8,21,0,1,4,1,17000
4,8,21,0,1,4,1,17000
5,8,21,0,1,4,1,17000
6,8,21,0,1,4,1,17000
7,8,21,0,1,4,1,17000
8,8,21,0,1,4,1,17000
9,8,21,0,1,4,1,17000
10,8,21,0,1,4,1,17000
11,8,21,0,1,4,1,17000
12,8,21,0,1,4,1,17000
13,8,21,0,1,4,1,17000
14,8,21,0,1,4,1,17000
15,8,21,0,1,4,1,17000
16,8,21,0,1,4,1,17000
17,8,21,0,1,4,1,17000
18,8,21,0,1,4,1,17000
19,8,21,0,1,4,1,17000
20,8,21,0,1,4,1,17000
21,8,21,0,1,4,1,17000
22,8,21,0,1,4,1,17000
23,8,21,0,1,4,1,17000
24,8,21,0,1,4,1,17000
25,8,21,0,1,4,1,17000
26,8,21,0,1,4,1,17000
27,8,21,0,1,4,1,17000
28,8,21,0,1,4,1,17000
29,8,21,0,1,4,1,17000
30,8,21,0,1,4,1,17000
31,8,21,0,1,4,1,17000
32,8,21,0,1,4,1,17000
33,8,21,0,1,4,1,17000
34,8,21,0,1,4,1,17000
35,8,21,0,1,4,1,17000
36,8,21,0,1,4,1,17000
37,8,21,0,1,4,1,17000
38,8,21,0,1,4,1,17000
39,8,21,0,1,4,1,17000
40,8,21,0,1,4,1,17000
41,8,21,0,1,4,1,17000
42,8,21,0,1,4,1,17000
43,8,21,0,1,4,1,17000
44,8,21,0,1,4,1,17000
45,8,21,0,1,4,1,17000
46,8,21,0,1,4,1,17000
47,8,21,0,1,4,1,17000
48,8,21,0,1,4,1,17000
49,8,21,0,1,4,1,17000
50,8,21,0,1,4,1,17000
51,8,21,0,1,4,1,17000
52,8,21,0,1,4,1,17000
53,8,21,0,1,4,1,17000
54,8,21,0,1,4,1,17000
55,8,21,0,1,4,1,17000
56,8,21,0,1,4,1,17000
57,8,21,0,1,4,1,17000
58,8,21,0,1,4,1,17000
59,8,21,0,1,4,1,17000
60,8,21,0,1,4,1,17000
61,8,21,0,1,4,1,17000
62,8,21,0,1,4,1,17000
63,8,21,0,1,4,1,17000
64,8,21,0,1,4,1,17000
65,8,21,0,1,4,1,17000
66,8,21,0,1,4,1,17000
67,8,21,0,1,4,1,17000
68,8,21,0,1,4,1,17000
69,8,21,0,1,4,1,17000
70,8,21,0,1,4,1,17000
71,8,21,0,1,4,1,17000
72,8,21,0,1,4,1,17000
73,8,21,0,1,4,1,17000
74,8,21,0,1,4,1,17000
75,8,21,0,1,4,1,17000
76,8,21,0,1,4,1,17000
77,8,21,0,1,4,1,17000
78,8,21,0,1,4,1,17000
79,8,21,0,1,4,1,17000
80,8,21,0,1,4,1,17000
81,8,21,0,1,4,1,17000
82,8,21,0,1,4,1,17000
83,8,21,0,1,4,1,17000
84,8,21,0,1,4,1,17000
85,8,21,0,1,4,1,17000
86,8,21,0,1,4,1,17000
87,8,21,0,1,4,1,17000
88,8,21,0,1,4,1,17000
89,8,21,0,1,4,1,17000
90,8,21,0,1,4,1,17000
91,8,21,0,1,4,1,17000
92,8,21,0,1,4,1,17000
93,8,21,0,1,4,1,17000
94,8,21,0,1,4,1,17000
95,8,21,0,1,4,1,17000
96,8,21,0,1,4,1,17000
97,8,21,0,1,4,1,17000
98,8,21,0,1,4,1,17000
99,8,21,0,1,4,1,17000
100,8,21,0,1,4,1,17000
,,,,,,,
,,,,,,,
Wednesday,,,,,,,
GameID,Away,Home,IsNeutral,IsNBA,Channel,Week,
