Home Team,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Data,Coach,Offensive Formation,Offensive Style,Defensive Formation,Pace,Opposing Team,Double Team On,,,,,,,,,,,,,,,,,,,,
Western Rising Stars,Wheeler,Balanced,Traditional,Man-To-Man,Fast,,Scott Munro,,,,,,,,,,,,,,,,,,,,
Roster,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position,Name,Age,height,Exp,School,Overall,Potential,3pt Shot,2pt Jumper,2pt Paint,FT,Ballwork,Rebound,Interior Def,Perimeter Def,Stamina,Adj Stamina,Paint %,Mid %,3pt %,Minutes,Pos 1,P1M,Pos 2,P2M,Pos 3,P3M
PG,Reginald Lovelace,23,5'10,0,OHST,79,A+,21,20,16,22,21,10,11,12,36,29,0,6,3,25,PG,25,,0,,0
SG,Hyun Xu,23,5'11,0,UMB,76,A,24,21,19,18,20,11,4,6,40,32,0,6,6,28,SG,28,,0,,0
SF,Joseph Swenson,23,6'6,0,UGA,91,B+,16,20,18,21,18,16,20,21,33,26,0,6,0,25,SF,25,,0,,0
PF,Michael Fennell,23,6'8,0,SJSU,86,B-,11,19,21,20,16,19,14,14,31,25,8,6,2,25,PF,25,,0,,0
C,Franklin Cotto,23,7'1,0,RICH,84,A+,12,11,22,14,9,22,18,20,37,30,8,0,2,28,C,28,,0,,0
PG,Dennis Mitchell,23,6'4,0,SJU,80,A+,20,23,16,19,16,12,16,17,36,29,0,6,4,23,PG,23,,0,,0
SG,Viktor Raulerson,22,5'10,0,WAKE,73,B+,20,15,13,17,20,9,15,13,40,32,0,3,6,20,SG,20,,0,,0
SF,Richard Arther,23,6'5,0,NAVY,81,A+,13,13,21,15,17,12,15,21,30,24,0,3,3,18,SF,18,,0,,0
PF,Joseph Romeo,23,6'8,0,WMU,84,C,8,13,18,9,22,16,16,20,37,30,8,0,0,25,PF,20,SF,5,,0
C,Christian Babcock,23,7'1,0,SLU,92,C,14,16,20,15,13,23,20,22,30,24,8,3,3,23,C,20,PF,3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Away Team,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Data,Coach,Offensive Formation,Offensive Style,Defensive Formation,Pace,Opposing Team,Double Team On,,,,,,,,,,,,,,,,,,,,
Eastern Rising Stars,Dash Dustrider,Balanced,Traditional,3-2 Zone,Fast,,,,,,,,,,,,,,,,,,,,,,
Roster,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position,Name,Age,height,Exp,School,Overall,Potential,3pt Shot,2pt Jumper,2pt Paint,FT,Ballwork,Rebound,Interior Def,Perimeter Def,Stamina,Adj Stamina,Paint %,Mid %,3pt %,Minutes,Pos 1,P1M,Pos 2,P2M,Pos 3,P3M
PG,Ralph Jones,23,5'10,0,UTST,82,A,23,21,13,21,21,11,17,16,33,26,3,2,6,24,PG,24,,0,,0
SG,Robert Philby,23,5'10,0,MISS,84,A+,22,22,15,17,20,14,13,17,29,23,3,2,6,23,SG,23,,0,,0
SF,Matthew Harker,23,6'8,0,OHIO,80,A+,6,19,21,22,17,11,13,20,33,26,6,3,0,24,SF,24,,0,,0
PF,Scott Munro,22,6'5,0,FAU,91,D,4,20,20,22,17,20,21,18,30,24,8,5,0,24,PF,24,,0,,0
C,John Mizutani,23,6'10,0,EVAN,85,B+,7,17,20,12,13,21,18,20,34,27,6,5,0,24,C,24,,0,,0
PG,Reginald Speese,23,5'10,0,UTEP,78,C,21,21,13,21,21,12,10,12,30,24,1,2,6,24,PG,24,,0,,0
SG,Michael McFadden,22,5'11,0,UTST,72,C-,20,16,15,14,21,11,7,11,34,27,1,3,6,25,SG,25,,0,,0
SF,Jess Urbanovsky,23,6'8,0,CUSE,70,A+,15,19,16,17,7,14,16,17,30,24,2,5,1,24,SF,24,,0,,0
PF,Kerry White,23,6'5,0,MIZZ,84,C,6,21,20,23,11,22,12,18,35,28,6,3,0,24,PF,24,,0,,0
C,Daryl Carter,23,7'1,0,MASS,84,A+,7,15,21,17,11,20,18,20,32,26,6,3,0,24,C,24,,0,,0
